ID,Text,VideoClipDescription,VideoDate,Views,Likes,Reposts,Comments,Comment0,Comment0Name,Comment0Likes,Comment1,Comment1Name,Comment1Likes
0,Why does the campus service vehicles say they are 100% renewable when the campus is powered by a coal plant?,Enclosed golf cart driving by with sign on the side.,11/11/2020/0045,10,3,1,2,It increases efficiency by reducing emissions.,SamPaole1991,8,nice 2 pac lol,StevenMcBradTT,
1,"I have a rainbow shirt because I like rainbows but everyone assumes im gay. So then i put text under that says ""not gay"". But i dont wa",Dimitri Martin doing standup,12/04/2020/1643,12,0,2,1,ur a bigot,ClaireDeGrasse69,0,,,
2,"Why am I spending $40,000 dollars on information I can look up for $49.99 a month on broadband?",Xfinity advertisment with crazy awesome graphics,12/13/2020/1002,1002,2,0,1,This is a good question and I would like to answer your question with another question,MisterChristopher10,0,,,
3,"Wiz Khalifa be like ""roll another one blow kush"" lmao",Wiz Khalifa rolling a large jazz cigg.,01/02/2021/1240,55,0,0,0,,,,,,
4,"My lower right back hurts when I wake up, think I might alternate which side I sleep on",Guy holding back in pain then sleeping on different sides.,01/14/2021/1045,21,4,0,0,,,,,,
5,"More complicated skateboarding requires increasing amount of muscles, would number of balls juggled be related to coordination","Kick flip graphic points to muscles, juggling graphic points to number of balls juggled.",01/16/2021/1932,3,2,1,1,It's a good warmup for skateboarding.,OliverAsksQuest09,,,,
6,"Hip snap occurs with knee over 90 degrees and laterally rotated with other leg extended, keep your knee at 90 and jump higher while moving faster.","Person overraises leg, audible snap with a red graphic over psoas, then IT band. Then performs ollie at slow/fast speed to show height.",02/02/2021/1812,103,3,1,1,Your back leg also flexes during the ollie making this point irrelevent.,DrKushMcGush111,3,yup also muscle coordination is different because used for different things,AlsoLiza2Mill,1
7,I'm over 30 and it's hard to lose weight from work and accumulation of injuries.,"Middle aged man in office, commuting, running, sleeping",02/03/2021/0832,7,0,0,0,,,,,,
8,"Skateboarding is a plyometric and not cardio, once I get tired my back leg caves and I fall more leading to injuries",Guy skateboarding and falling alot,02/16/2021/0901,19,0,0,0,,,,,,
9,Physical therapist said my back was sore because the multifudus is inflammed and said to strengthen gluteous medious.,"Person squatting, holding back, doing glute mediuous stretch",02/31/2021/1455,32,1,0,0,,,,,,
10,PT also said left psoas is not as flexible from the Thomas test and gave several exercises to increase muscle balance. Probably from shotput spin.,Person doing hip flexor and left pelvic tilt stretches and throwing shoput,03/03/2021/0017,39,2,1,1,had this issue too was helpful,freshDrawersFiftyAyyy,1,,,
11,"Lateral leg muscles hurt, thought about using the heel more to ollie but if you fall you would land on your exposes back.",Person falling off skateboard onto back and head,03/04/2021/0734,29,11,3,2,ate ass on that one HAHAHA,steezyPeezyBerez,4,u silly my guy,kintTheFeend2003,
12,IN A WORLD WHERE EVERYONE was slowly REPLACED BY ROBOTS. terminator: di Octo,"movie ad """"loud explosion"""" muscular guy running from gunfire, ""you have to let go shack!"" (person drops the ball and it slowly settles onto floor)",03/14/2021/0923,899,24,0,1,wow i would love to see this movie it sure is sweel,notRobotShill,14,,,
