ID,Date,Calories,Exe,Salt,Fat,Prot,Carb,Alc
0,501,2800,1,4,4,2,3,3
1,502,1900,2,2,4,4,2,0
2,503,2600,0,2,2,2,2,2
3,504,1700,2,1,1,1,1,0
4,505,2400,1,1,1,1,1,0
5,506,2100,2,1,1,1,2,0
6,507,1900,2,1,1,1,1,0
7,508,2300,2,1,2,1,1,1
8,509,2100,2,2,1,1,1,0
9,510,3200,2,5,4,4,4,0
10,511,2250,1,4,2,2,2,1
11,512,2000,2,1,1,1,1,0
12,513,2000,0,1,2,1,1,1
13,514,2000,1,2,2,2,1,0
14,515,2000,0,1,1,1,1,0
15,516,2000,0,1,1,1,1,0
16,517,2000,0,1,1,1,1,0
17,518,1900,2,1,1,1,1,0
18,519,2500,0,3,1,1,2,0
19,520,2200,2,2,2,2,2,1
20,521,2200,2,1,1,1,1,0
21,522,2400,2,2,2,1,4,3
22,523,2400,2,2,4,4,2,0
23,524,2300,1,1,1,1,1,0
24,525,2200,2,2,2,1,1,0
25,526,2200,0,2,2,2,2,0
26,527,2200,2,1,2,2,2,0
27,528,2600,1,4,4,4,4,5
28,529,1900,1,2,1,2,1,3
29,530,2160,2,2,1,1,2,1
30,531,2200,2,1,2,2,1,0
